t,volts
0.00042679999999999997,-0.046
0.0004272,-0.046
0.0004276,-0.046
0.000428,-0.044
0.0004284,-0.044
0.00042879999999999996,-0.042
0.00042919999999999997,-0.046
0.0004296,-0.042
0.00043,-0.044
0.0004304,-0.042
0.00043079999999999995,-0.04
0.00043119999999999996,-0.044
0.0004316,-0.042
0.000432,-0.042
0.0004324,-0.042
0.0004328,-0.042
0.00043319999999999996,-0.04
0.00043359999999999997,-0.042
0.000434,-0.04
0.0004344,-0.04
0.0004348,-0.04
0.00043519999999999995,-0.04
0.00043559999999999996,-0.04
0.00043599999999999997,-0.04
0.0004364,-0.04
0.0004368,-0.038
0.0004372,-0.038
0.00043759999999999996,-0.038
0.00043799999999999997,-0.038
0.0004384,-0.04
0.0004388,-0.036000000000000004
0.0004392,-0.038
0.0004396,-0.038
0.00043999999999999996,-0.04
0.00044039999999999997,-0.038
0.0004408,-0.038
0.0004412,-0.036000000000000004
0.0004416,-0.038
0.00044199999999999996,-0.036000000000000004
0.00044239999999999997,-0.038
0.0004428,-0.036000000000000004
0.0004432,-0.036000000000000004
0.0004436,-0.036000000000000004
0.000444,-0.036000000000000004
0.00044439999999999996,-0.036000000000000004
0.00044479999999999997,-0.038
0.0004452,-0.036000000000000004
0.0004456,-0.034
0.000446,-0.034
0.00044639999999999995,-0.036000000000000004
0.00044679999999999996,-0.034
0.0004472,-0.034
0.0004476,-0.036000000000000004
0.000448,-0.032
0.0004484,-0.032
0.00044879999999999996,-0.032
0.00044919999999999997,-0.034
0.0004496,-0.034
0.00045,-0.032
0.0004504,-0.03
0.00045079999999999995,-0.032
0.00045119999999999996,-0.03
0.00045159999999999997,-0.03
0.000452,-0.03
0.0004524,-0.032
0.0004528,-0.028
0.00045319999999999996,-0.03
0.00045359999999999997,-0.03
0.000454,-0.032
0.0004544,-0.028
0.0004548,-0.03
0.0004552,-0.032
0.00045559999999999996,-0.03
0.00045599999999999997,-0.032
0.0004564,-0.03
0.0004568,-0.028
0.0004572,-0.03
0.00045759999999999996,-0.028
0.00045799999999999997,-0.028
0.0004584,-0.028
0.0004588,-0.028
0.0004592,-0.026000000000000002
0.0004596,-0.024
0.00045999999999999996,-0.026000000000000002
0.00046039999999999997,-0.026000000000000002
0.0004608,-0.024
0.0004612,-0.026000000000000002
0.0004616,-0.024
0.00046199999999999995,-0.024
0.00046239999999999996,-0.026000000000000002
0.0004628,-0.026000000000000002
0.0004632,-0.022
0.0004636,-0.024
0.000464,-0.026000000000000002
0.00046439999999999996,-0.026000000000000002
0.00046479999999999997,-0.024
0.0004652,-0.026000000000000002
0.0004656,-0.024
0.000466,-0.022
0.00046639999999999995,-0.024
0.00046679999999999996,-0.02
0.00046719999999999997,-0.024
0.0004676,-0.022
0.000468,-0.022
0.0004684,-0.02
0.00046879999999999996,-0.024
0.00046919999999999997,-0.022
0.0004696,-0.022
0.00047,-0.022
0.0004704,-0.022
0.0004708,-0.02
0.00047119999999999996,-0.018000000000000002
0.00047159999999999997,-0.018000000000000002
0.000472,-0.022
0.0004724,-0.02
0.0004728,-0.02
0.00047319999999999996,-0.018000000000000002
0.00047359999999999997,-0.02
0.000474,-0.016
0.0004744,-0.018000000000000002
0.0004748,-0.018000000000000002
0.0004752,-0.02
0.00047559999999999996,-0.02
0.00047599999999999997,-0.016
0.0004764,-0.018000000000000002
0.0004768,-0.016
0.0004772,-0.018000000000000002
0.00047759999999999995,-0.014
0.00047799999999999996,-0.016
0.0004784,-0.014
0.0004788,-0.018000000000000002
0.0004792,-0.016
0.0004796,-0.014
0.00047999999999999996,-0.018000000000000002
0.00048039999999999997,-0.014
0.0004808,-0.014
0.0004812,-0.016
0.0004816,-0.014
0.00048199999999999995,-0.018000000000000002
0.00048239999999999996,-0.014
0.00048279999999999997,-0.016
0.0004832,-0.012
0.0004836,-0.012
0.000484,-0.012
0.00048439999999999996,-0.014
0.00048479999999999997,-0.012
0.0004852,-0.014
0.0004856,-0.008
0.000486,-0.014
0.0004864,-0.012
0.00048679999999999996,-0.006
0.00048719999999999997,-0.008
0.0004876,-0.01
0.000488,-0.012
0.0004883999999999999,-0.014
0.0004888,-0.008
0.0004892,-0.01
0.0004896,-0.01
0.00049,-0.008
0.0004904,-0.01
0.0004908,-0.008
0.0004912,-0.008
0.0004916,-0.006
0.0004919999999999999,-0.01
0.0004923999999999999,-0.006
0.0004927999999999999,-0.006
0.0004932,-0.01
0.0004936,-0.004
0.000494,-0.006
0.0004944,-0.008
0.0004948,-0.004
0.0004952,-0.008
0.0004956,-0.006
0.000496,-0.006
0.0004964,-0.006
0.0004967999999999999,-0.006
0.0004971999999999999,-0.006
0.0004976,-0.004
0.000498,-0.006
0.0004984,-0.004
0.0004988,-0.002
0.0004992,-0.006
0.0004996,-0.002
0.0005,0.0
0.0005004,-0.002
0.0005008,-0.002
0.0005011999999999999,-0.002
0.0005015999999999999,-0.002
0.000502,-0.004
0.0005024,0.0
0.0005028,0.0
0.0005032,-0.004
0.0005036,-0.002
0.000504,0.0
0.0005044,0.0
0.0005048,0.002
0.0005052,-0.002
0.0005055999999999999,-0.002
0.0005059999999999999,0.0
0.0005064,0.002
0.0005068,-0.002
0.0005072,0.002
0.0005076,0.002
0.000508,0.004
0.0005084,0.0
0.0005088,0.002
0.0005092,0.0
0.0005096,0.002
0.0005099999999999999,0.002
0.0005103999999999999,0.002
0.0005108,0.002
0.0005112,0.006
0.0005116,0.004
0.000512,0.002
0.0005124,0.004
0.0005128,0.004
0.0005132,0.002
0.0005136,0.006
0.000514,0.004
0.0005143999999999999,0.006
0.0005147999999999999,0.004
0.0005152,0.002
0.0005156,0.006
0.000516,0.008
0.0005164,0.008
0.0005168,0.004
0.0005172,0.006
0.0005176,0.006
0.000518,0.006
0.0005184,0.006
0.0005187999999999999,0.006
0.0005191999999999999,0.006
0.0005195999999999999,0.008
0.00052,0.006
0.0005204,0.008
0.0005208,0.01
0.0005212,0.01
0.0005216,0.008
0.000522,0.008
0.0005224,0.008
0.0005228,0.01
0.0005231999999999999,0.01
0.0005235999999999999,0.01
0.0005239999999999999,0.01
0.0005244,0.01
0.0005248,0.01
0.0005252,0.012
0.0005256,0.01
0.000526,0.012
0.0005264,0.01
0.0005268,0.01
0.0005272,0.014
0.0005275999999999999,0.014
0.0005279999999999999,0.012
0.0005283999999999999,0.012
0.0005288,0.01
0.0005292,0.01
0.0005296,0.012
0.00053,0.014
0.0005304,0.014
0.0005308,0.014
0.0005312,0.016
0.0005316,0.014
0.000532,0.016
0.0005323999999999999,0.018000000000000002
0.0005327999999999999,0.016
0.0005332,0.016
0.0005336,0.016
0.000534,0.016
0.0005344,0.016
0.0005348,0.014
0.0005352,0.016
0.0005356,0.016
0.000536,0.018000000000000002
0.0005364,0.016
0.0005367999999999999,0.018000000000000002
0.0005371999999999999,0.018000000000000002
0.0005376,0.018000000000000002
0.000538,0.018000000000000002
0.0005384,0.018000000000000002
0.0005388,0.018000000000000002
0.0005392,0.018000000000000002
0.0005396,0.02
0.00054,0.022
0.0005404,0.022
0.0005408,0.02
0.0005411999999999999,0.02
0.0005415999999999999,0.02
0.000542,0.022
0.0005424,0.022
0.0005428,0.02
0.0005432,0.022
0.0005436,0.022
0.000544,0.022
0.0005444,0.022
0.0005448,0.022
0.0005452,0.022
0.0005455999999999999,0.024
0.0005459999999999999,0.024
0.0005463999999999999,0.02
0.0005468,0.026000000000000002
0.0005472,0.024
0.0005476,0.026000000000000002
0.000548,0.022
0.0005484,0.024
0.0005488,0.022
0.0005492,0.026000000000000002
0.0005496,0.022
0.0005499999999999999,0.022
0.0005503999999999999,0.026000000000000002
0.0005507999999999999,0.026000000000000002
0.0005512,0.024
0.0005516,0.028
0.000552,0.026000000000000002
0.0005524,0.028
0.0005528,0.028
0.0005532,0.026000000000000002
0.0005536,0.026000000000000002
0.000554,0.026000000000000002
0.0005543999999999999,0.028
0.0005547999999999999,0.026000000000000002
0.0005551999999999999,0.026000000000000002
0.0005556,0.03
